# NODES
node_id,x,y
1,0.0,0.0
2,10.0,0.0
3,20.0,0.0
4,50.0,0.0
5,60.0,0.0
6,70.0,0.0
7,10.0,10.0
8,20.0,10.0
9,30.0,10.0
10,40.0,10.0
11,50.0,10.0
12,60.0,10.0
13,20.0,20.0
14,30.0,20.0
15,40.0,20.0
16,50.0,20.0
17,30.0,30.0
18,40.0,30.0

# ELEMENTS
elem_id,node_i,node_j,area,material_id
1,1,2,1.0,1
2,2,3,1.0,1
3,4,5,1.0,1
4,5,6,1.0,1
5,7,8,1.0,1
6,8,9,1.0,1
7,9,10,1.0,1
8,10,11,1.0,1
9,11,12,1.0,1
10,13,14,1.0,1
11,14,15,1.0,1
12,15,16,1.0,1
13,17,18,1.0,1
14,2,7,1.0,1
15,2,8,1.0,1
16,3,8,1.0,1
17,3,9,1.0,1
18,4,10,1.0,1
19,4,11,1.0,1
20,5,11,1.0,1
21,5,12,1.0,1
22,1,7,1.0,1
23,6,12,1.0,1
24,7,13,1.0,1
25,8,13,1.0,1
26,8,14,1.0,1
27,9,14,1.0,1
28,10,15,1.0,1
29,11,15,1.0,1
30,11,16,1.0,1
31,16,12,1.0,1
32,13,17,1.0,1
33,14,17,1.0,1
34,14,18,1.0,1
35,15,17,1.0,1
36,15,18,1.0,1
37,16,18,1.0,1
